English,Compound,"Izaki Reading
(sandhi applied)"
#ERROR!,則天,#ERROR!
#ERROR!,測地,#ERROR!
#ERROR!,測定,#ERROR!
Immediately made,即製,seikutsei
#ERROR!,側頭,#ERROR!
Positioning,測位,#ERROR!
#ERROR!,測候,#ERROR!
#ERROR!,即妙,#ERROR!
side aisle,側廊,#ERROR!
Ripe persimmon,熟柿,#ERROR!
gutter,側溝,sokukō
#ERROR!,息災,#ERROR!
order,順,#ERROR!
#ERROR!,順番,#ERROR!
#ERROR!,寸断,#ERROR!
#ERROR!,順序,junjou
#ERROR!,寸言,#ERROR!
leisure,寸暇,#ERROR!
#ERROR!,順逆,#ERROR!
#ERROR!,順境,junkyō
#ERROR!,寸評,#ERROR!
#ERROR!,順風,#ERROR!
Inch,寸分,#ERROR!
permutation,順列,junlyes
regular route,順路,#ERROR!
small gift,寸志,#ERROR!
Junsei,順正,#ERROR!
#ERROR!,順天,juntyen
dimension iron,寸鉄,#ERROR!
#ERROR!,順延,#ERROR!
#ERROR!,寸時,#ERROR!
short loan,寸借,#ERROR!
#ERROR!,寸刻,#ERROR!
#ERROR!,寸劇,#ERROR!
Dimensions,寸毫,#ERROR!
#ERROR!,数列,#ERROR!
#ERROR!,数量,sūryān
#ERROR!,数詞,#ERROR!
#ERROR!,数等,#ERROR!
#ERROR!,数次,#ERROR!
#ERROR!,数値,#ERROR!
#ERROR!,数刻,#ERROR!
#ERROR!,左道,sadō
#ERROR!,左図,#ERROR!
#ERROR!,左前,#ERROR!
#ERROR!,左中,#ERROR!
#ERROR!,左翼,saīku
Plasterer,左官,#ERROR!
#ERROR!,左傾,#ERROR!
#ERROR!,左記,#ERROR!
#ERROR!,左片,sahen
#ERROR!,左辺,#ERROR!
#ERROR!,左方,#ERROR!
#ERROR!,左府,#ERROR!
left column,左欄,#ERROR!
Sagicho,左義長,#ERROR!
#ERROR!,左右,#ERROR!
#ERROR!,左掌,#ERROR!
left lung,左肺,sahai
#ERROR!,左舷,#ERROR!
#ERROR!,左隻,#ERROR!
person,者,sha
car,車,#ERROR!
#ERROR!,像,sān
#ERROR!,商,#ERROR!
#ERROR!,賞,#ERROR!
business,商売,#ERROR!
#ERROR!,商大,#ERROR!
#ERROR!,賞状,#ERROR!
Commerce,商學,#ERROR!
bonus,賞与,#ERROR!
Commerce,商科,sānka
business opportunity,商機,#ERROR!
#ERROR!,商高,#ERROR!
#ERROR!,商圏,#ERROR!
commercial rights,商権,sānkwon
#ERROR!,商館,#ERROR!
reward and punishment,賞罰,#ERROR!
#ERROR!,賞品,#ERROR!
#ERROR!,商標,#ERROR!
#ERROR!,商法,#ERROR!
#ERROR!,商才,#ERROR!
#ERROR!,商店,#ERROR!
commercial capital,商都,#ERROR!
#ERROR!,商戦,#ERROR!
#ERROR!,商議,#ERROR!
#ERROR!,商材,#ERROR!
#ERROR!,商人,#ERROR!
#ERROR!,賞翫,#ERROR!
Business offer,商賈,#ERROR!
#ERROR!,賞賜,#ERROR!
#ERROR!,商魂,#ERROR!
carriage and horse,車馬,shama
#ERROR!,車台,shatai
#ERROR!,社団,#ERROR!
#ERROR!,斜度,#ERROR!
On the car,車上,#ERROR!
#ERROR!,射場,#ERROR!
#ERROR!,社伝,#ERROR!
#ERROR!,社前,#ERROR!
#ERROR!,謝絶,#ERROR!
#ERROR!,謝辞,shaji
#ERROR!,社中,#ERROR!
#ERROR!,射影,#ERROR!
#ERROR!,斜行,#ERROR!
#ERROR!,社費,#ERROR!
Social Welfare Council,社協,#ERROR!
#ERROR!,斜陽,#ERROR!
#ERROR!,社用,shayō
#ERROR!,社有,#ERROR!
#ERROR!,社歌,#ERROR!
#ERROR!,社格,#ERROR!
#ERROR!,車格,shakaku
#ERROR!,写角,#ERROR!
Vehicle distance,車間,#ERROR!
#ERROR!,舎監,#ERROR!
#ERROR!,射幸,#ERROR!
#ERROR!,写経,#ERROR!
#ERROR!,社研,#ERROR!
company flag,社旗,#ERROR!
#ERROR!,謝金,#ERROR!
#ERROR!,車高,#ERROR!
socializing,社交,shakyo
#ERROR!,斜交,shakyo
#ERROR!,社訓,#ERROR!
#ERROR!,釈義,#ERROR!
society,社会,#ERROR!
sociology,社会學,#ERROR!
#ERROR!,社会主義,#ERROR!
Car name,車名,#ERROR!
pardon,赦免,#ERROR!
Company Order,社命,shamei
#ERROR!,社内,#ERROR!
#ERROR!,謝肉祭,#ERROR!
Gratitude,謝恩,#ERROR!
hypotenuse,斜辺,#ERROR!
#ERROR!,社保,#ERROR!
#ERROR!,社報,#ERROR!
car driver,車夫,#ERROR!
Company culture,社風,#ERROR!
#ERROR!,社歴,#ERROR!
car power,車力,#ERROR!
#ERROR!,車両,#ERROR!
#ERROR!,社領,#ERROR!
Social Insurance and Labor,社労,#ERROR!
#ERROR!,斜線,#ERROR!
#ERROR!,社説,#ERROR!
Company regulations,社則,#ERROR!
#ERROR!,写像,#ERROR!
#ERROR!,斜視,#ERROR!
#ERROR!,社史,#ERROR!
Shrine Chief,社司,#ERROR!
#ERROR!,写真,#ERROR!
#ERROR!,写真機,#ERROR!
#ERROR!,車室,#ERROR!
#ERROR!,社食,shashoku
Company owner,社主,#ERROR!
sagittarius,射手座,shashujwa
#ERROR!,射出,#ERROR!
leaning tower,斜塔,#ERROR!
#ERROR!,社倉,#ERROR!
#ERROR!,車載,#ERROR!
#ERROR!,社長,#ERROR!
Commander,車長,#ERROR!
#ERROR!,射的,shacheke
#ERROR!,車戦,#ERROR!
company head,社頭,#ERROR!
#ERROR!,社運,#ERROR!
outside the car,車外,#ERROR!
#ERROR!,謝意,#ERROR!
employee,社員,#ERROR!
#ERROR!,社業,#ERROR!
Shrine priest,社僧,shasūn
#ERROR!,社共,#ERROR!
Shrine grove,社叢,#ERROR!
Company building,社屋,shaoku
#ERROR!,舎弟,#ERROR!
#ERROR!,車掌,#ERROR!
Company policy,社是,#ERROR!
#ERROR!,社稷,sha
#ERROR!,社章,#ERROR!
#ERROR!,社葬,#ERROR!
#ERROR!,車軸,#ERROR!
#ERROR!,審美,#ERROR!
Children,子々,#ERROR!
cotyledon,子葉,#ERROR!
#ERROR!,子規,tsikwi
#ERROR!,赤道,#ERROR!
poverty,赤貧,#ERROR!
#ERROR!,赤経,#ERROR!
proactive,積極,#ERROR!
#ERROR!,赤口,#ERROR!
Reddening,赤化,#ERROR!
red light,赤光,#ERROR!
#ERROR!,積年,#ERROR!
#ERROR!,赤熱,#ERROR!
red discoloration,赤変,#ERROR!
#ERROR!,赤壁,sekupeku
#ERROR!,積分,#ERROR!
#ERROR!,赤緑,#ERROR!
addition,積算,#ERROR!
Lamination,積層,chekesūn
#ERROR!,積水,#ERROR!
#ERROR!,赤心,#ERROR!
#ERROR!,積載,#ERROR!
#ERROR!,積雲,chekeun
#ERROR!,赤外線,#ERROR!
red,赤い,#ERROR!
Accumulated disadvantages,積弊,#ERROR!
#ERROR!,赤灯,#ERROR!
#ERROR!,赤痢,#ERROR!
#ERROR!,赤竜,#ERROR!
#ERROR!,赤緯,sekuwi
#ERROR!,積聚,#ERROR!
#ERROR!,赤裸,#ERROR!
#ERROR!,赤銅,#ERROR!
#ERROR!,旋条,#ERROR!
#ERROR!,旋盤,#ERROR!
#ERROR!,子音,#ERROR!
ovary,子房,#ERROR!
suffix,接尾,#ERROR!
suffix,接尾語,#ERROR!
docking,接岸,#ERROR!
#ERROR!,接近,#ERROR!
#ERROR!,接骨,#ERROR!
tangent line,接線,sessen
#ERROR!,接続,#ERROR!
#ERROR!,接続詞,sessokushi
#ERROR!,接続する,#ERROR!
#ERROR!,接写,#ERROR!
#ERROR!,接触,sessoku
Access road,接道,#ERROR!
Close match,接戦,#ERROR!
reception,接受,#ERROR!
#ERROR!,接頭,#ERROR!
#ERROR!,接吻,#ERROR!
#ERROR!,接舷,sesken
#ERROR!,接遇,#ERROR!
#ERROR!,接地,#ERROR!
meridian,子午,#ERROR!
#ERROR!,子孫,#ERROR!
#ERROR!,子爵,#ERROR!
#ERROR!,市,#ERROR!
death,死,#ERROR!
#ERROR!,氏,#ERROR!
#ERROR!,師,#ERROR!
poem,詩,#ERROR!
#ERROR!,施,#ERROR!
#ERROR!,資,#ERROR!
#ERROR!,事々,#ERROR!
Case,事案,#ERROR!
#ERROR!,私案,#ERROR!
Convenient,至便,#ERROR!
#ERROR!,思弁,#ERROR!
#ERROR!,支弁,#ERROR!
#ERROR!,死病,#ERROR!
#ERROR!,支部,#ERROR!
#ERROR!,市部,#ERROR!
#ERROR!,死物,#ERROR!
important thing,事大,#ERROR!
four major,四大,#ERROR!
#ERROR!,私大,#ERROR!
Paper cost,紙代,#ERROR!
supreme,至大,#ERROR!
historical story,史談,shitan
#ERROR!,紫電,shidyen
#ERROR!,支度,#ERROR!
#ERROR!,私度,#ERROR!
#ERROR!,市道,#ERROR!
#ERROR!,師道,#ERROR!
#ERROR!,私道,#ERROR!
Bushido,士道,#ERROR!
Personal property,私財,#ERROR!
#ERROR!,資財,#ERROR!
supreme good,至善,#ERROR!
on the market,市上,#ERROR!
#ERROR!,誌上,#ERROR!
market,市場,#ERROR!
advance,事前,#ERROR!
Historical Biographies,史伝,#ERROR!
instruction from a master,師伝,#ERROR!
#ERROR!,支持,#ERROR!
Private temple,私寺,#ERROR!
#ERROR!,事実,#ERROR!
Branches,枝条,#ERROR!
circumstances,事情,#ERROR!
#ERROR!,詩情,shijōn
Sincerity,至情,#ERROR!
#ERROR!,市街,shikai
#ERROR!,施行,#ERROR!
poem,詩行,#ERROR!
#ERROR!,私行,shikō
#ERROR!,詩語,#ERROR!
#ERROR!,私語,#ERROR!
Best words,至言,#ERROR!
Origin,始原,#ERROR!
#ERROR!,紙背,#ERROR!
vision,視學,#ERROR!
#ERROR!,詩學,#ERROR!
#ERROR!,私學,#ERROR!
dead spot,死斑,#ERROR!
Crime,事犯,#ERROR!
#ERROR!,紫斑,#ERROR!
#ERROR!,私兵,#ERROR!
#ERROR!,私費,#ERROR!
#ERROR!,志向,#ERROR!
#ERROR!,試飲,#ERROR!
private seal,私印,shiin
#ERROR!,視野,#ERROR!
Trial translation,試訳,#ERROR!
#ERROR!,施薬,#ERROR!
reagent,試薬,#ERROR!
#ERROR!,私営,#ERROR!
support,支援,#ERROR!
#ERROR!,使用,#ERROR!
#ERROR!,施用,#ERROR!
#ERROR!,私用,#ERROR!
essential,至要,#ERROR!
#ERROR!,試用,shiyō
self-interest,私欲,shiyoku
City-owned,市有,#ERROR!
Poetry friend,詩友,#ERROR!
master and friends,師友,#ERROR!
Shikai,志怪,#ERROR!
#ERROR!,死角,#ERROR!
#ERROR!,資格,#ERROR!
viewing angle,視角,#ERROR!
#ERROR!,仕官,#ERROR!
chronicler,史官,#ERROR!
officer,士官,shikan
#ERROR!,私刑,#ERROR!
#ERROR!,市警,#ERROR!
#ERROR!,試験,#ERROR!
#ERROR!,式,shiki
regulations,施規,#ERROR!
Start date,始期,shiki
#ERROR!,私記,#ERROR!
#ERROR!,試着,#ERROR!
Ceremony platform,式台,#ERROR!
Speech,式辞,#ERROR!
ceremonial clothes,式服,#ERROR!
Code,式目,shikimoku
#ERROR!,資金,#ERROR!
#ERROR!,紫金,#ERROR!
#ERROR!,紫禁,shikin
assay,試金,shikin
#ERROR!,式事,#ERROR!
Equipment and materials,資機材,#ERROR!
#ERROR!,市況,#ERROR!
paper type,紙型,#ERROR!
Poetry type,詩型,shihyō
Poetry,詩境,shikyō
provision,支給,#ERROR!
accident,事故,#ERROR!
supreme,至高,#ERROR!
thinking,思考,#ERROR!
Construction,施工,#ERROR!
#ERROR!,私考,#ERROR!
#ERROR!,事件,#ERROR!
#ERROR!,私権,#ERROR!
#ERROR!,紫根,#ERROR!
#ERROR!,死球,#ERROR!
#ERROR!,四球,#ERROR!
#ERROR!,始球,#ERROR!
#ERROR!,死後,#ERROR!
#ERROR!,試掘,#ERROR!
Phloem,師管,#ERROR!
#ERROR!,司会,#ERROR!
#ERROR!,市会,#ERROR!
#ERROR!,視liki,#ERROR!
Put away,仕舞う,shinoi
#ERROR!,始末,#ERROR!
#ERROR!,市名,#ERROR!
Magazine title,誌名,#ERROR!
citizen,市民,#ERROR!
#ERROR!,四民,#ERROR!
#ERROR!,士民,shimin
branch,支脈,shimyaku
#ERROR!,死命,#ERROR!
#ERROR!,使命,shimei
#ERROR!,誌面,#ERROR!
#ERROR!,事務,#ERROR!
#ERROR!,市門,#ERROR!
#ERROR!,思文,#ERROR!
Examination,試問,#ERROR!
new,新,#ERROR!
#ERROR!,診,#ERROR!
#ERROR!,信愛,#ERROR!
new idea,新案,shinnan
New horse,新馬,#ERROR!
#ERROR!,心棒,#ERROR!
deep part,深部,#ERROR!
#ERROR!,新聞記者,#ERROR!
#ERROR!,新聞紙,shinmunzhi
sacred object,神物,#ERROR!
#ERROR!,新台,#ERROR!
diagnosis,診断,#ERROR!
#ERROR!,寝殿,#ERROR!
#ERROR!,震度,jindo
#ERROR!,新道,#ERROR!
vibration,震動,#ERROR!
#ERROR!,心臓,#ERROR!
Before the shrine,神前,#ERROR!
#ERROR!,新字,#ERROR!
#ERROR!,真字,#ERROR!
truth,真実,#ERROR!
#ERROR!,信実,#ERROR!
true feelings,真情,#ERROR!
#ERROR!,心中,#ERROR!
acceptance,信受,#ERROR!
#ERROR!,新受,#ERROR!
pro-China,親中,#ERROR!
#ERROR!,身中,#ERROR!
portrait,真影,#ERROR!
Self,真我,#ERROR!
mind's eye,心眼,#ERROR!
#ERROR!,心技,#ERROR!
God technique,神技,#ERROR!
#ERROR!,信行,#ERROR!
#ERROR!,心行,#ERROR!
#ERROR!,新語,#ERROR!
#ERROR!,神軍,#ERROR!
#ERROR!,神火,#ERROR!
Reverence,親拝,#ERROR!
#ERROR!,心學,#ERROR!
#ERROR!,新兵,#ERROR!
#ERROR!,神号,#ERROR!
Pickles,新香,#ERROR!
#ERROR!,心服,#ERROR!
#ERROR!,親和liki,#ERROR!
Divine clothing,神衣,#ERROR!
#ERROR!,心因,#ERROR!
True cause,真因,shinnin
Shen Yun,神韻,#ERROR!
#ERROR!,視認,#ERROR!
#ERROR!,深夜,#ERROR!
#ERROR!,新陽,#ERROR!
#ERROR!,新訳,#ERROR!
#ERROR!,新役,#ERROR!
#ERROR!,新駅,shinnyeku
#ERROR!,信用,#ERROR!
#ERROR!,親友,shinnyū
#ERROR!,新家,#ERROR!
Divine Song,神歌,shin/jinka
#ERROR!,新講,shinkōn
#ERROR!,神界,#ERROR!
Shinkai,新開,#ERROR!
eukaryotic,真核,shinkaiku
#ERROR!,神幸,#ERROR!
nerves,神経,#ERROR!
#ERROR!,真景,#ERROR!
Irritability,神経過敏,#ERROR!
heart and blood,心血,#ERROR!
#ERROR!,心機,#ERROR!
#ERROR!,心気,#ERROR!
#ERROR!,振起,#ERROR!
New Arrivals,新着,#ERROR!
Divine energy,神気,#ERROR!
#ERROR!,新奇,#ERROR!
#ERROR!,辛気,#ERROR!
#ERROR!,信金,#ERROR!
#ERROR!,心筋,#ERROR!
New religion,新教,#ERROR!
Shinkyo Bridge,神橋,#ERROR!
lip shape,唇形,sūnkei
#ERROR!,新曲,shinkuku
#ERROR!,神曲,#ERROR!
#ERROR!,新古,#ERROR!
True piece,真個,#ERROR!
#ERROR!,新港,#ERROR!
#ERROR!,深耕,#ERROR!
Complaint,親告,#ERROR!
#ERROR!,神婚,#ERROR!
#ERROR!,神権,shin/jinkwon
vacuum,真空,#ERROR!
#ERROR!,真空管,#ERROR!
#ERROR!,神國,#ERROR!
God-kun,神君,#ERROR!
#ERROR!,神化,#ERROR!
new coin,新貨,#ERROR!
#ERROR!,新館,#ERROR!
#ERROR!,信管,shinkan
#ERROR!,神觀,#ERROR!
Shinkai,心会,#ERROR!
#ERROR!,新来,#ERROR!
#ERROR!,心理,#ERROR!
#ERROR!,心理學,#ERROR!
mental strength,心力,#ERROR!
#ERROR!,新領,#ERROR!
Shinryo,神領,#ERROR!
New example,新例,shinlei
Relatives,親縁,#ERROR!
#ERROR!,新論,#ERROR!
theism,神論,#ERROR!
#ERROR!,信望,#ERROR!
#ERROR!,親米,#ERROR!
#ERROR!,神名,#ERROR!
Shinmei,神明,#ERROR!
New flavor,新味,shinmi
new people,新民,#ERROR!
#ERROR!,身命,shinmei
#ERROR!,神罰,shin/jimbas
#ERROR!,神木,#ERROR!
Divine text,神文,#ERROR!
Shinmon Gate,神門,#ERROR!
In my heart,心内,#ERROR!
Shinuchi,新内,#ERROR!
#ERROR!,親任,#ERROR!
#ERROR!,信認,#ERROR!
#ERROR!,新日,#ERROR!
#ERROR!,信念,#ERROR!
#ERROR!,信女,#ERROR!
#ERROR!,心音,#ERROR!
#ERROR!,唇音,#ERROR!
#ERROR!,新派,#ERROR!
atrium,心房,#ERROR!
Credit,信販,#ERROR!
New release,新盤,shimpan
Shogunate vassals,親藩,shimpan
New edition,新編,#ERROR!
#ERROR!,神変,shin/jinhen
#ERROR!,真否,#ERROR!
dermis,真皮,#ERROR!
mystery,神秘,#ERROR!
#ERROR!,真筆,#ERROR!
#ERROR!,心法,#ERROR!
#ERROR!,神法,#ERROR!
#ERROR!,神宝,#ERROR!
A new breeze,新風,#ERROR!
#ERROR!,心腹,#ERROR!
#ERROR!,身分,#ERROR!
#ERROR!,新札,#ERROR!
#ERROR!,深緑,#ERROR!
Hard work,辛労,#ERROR!
#ERROR!,審査,shinsa
#ERROR!,新茶,#ERROR!
Examination,診査,#ERROR!
divine festival,神祭,#ERROR!
#ERROR!,振作,shintsaku
#ERROR!,真作,#ERROR!
#ERROR!,辛酸,#ERROR!
#ERROR!,心性,#ERROR!
#ERROR!,新星,#ERROR!
Intrinsic,真性,#ERROR!
#ERROR!,神性,#ERROR!
#ERROR!,新制,#ERROR!
#ERROR!,新政,#ERROR!
#ERROR!,神政,#ERROR!
#ERROR!,親政,#ERROR!
New colors,新色,#ERROR!
New Line,新線,#ERROR!
divine immortal,神仙,#ERROR!
deep and shallow,深浅,shinchan
Kindness,親切,#ERROR!
New Theory,新説,#ERROR!
True Story,真説,#ERROR!
#ERROR!,新雪,#ERROR!
#ERROR!,深雪,#ERROR!
Newly installed,新装,#ERROR!
hydrophilic,親水,#ERROR!
shrine,神社,#ERROR!
New company,新社,#ERROR!
believer,信者,shinsha
#ERROR!,深謝,#ERROR!
statue of god,神像,#ERROR!
#ERROR!,信賞,#ERROR!
#ERROR!,伸子,#ERROR!
#ERROR!,振子,#ERROR!
#ERROR!,心事,#ERROR!
#ERROR!,新市,#ERROR!
angel,神使,#ERROR!
#ERROR!,神祇,#ERROR!
#ERROR!,新式,shinshiki
Shinto style,神式,shin/jinshiki
faith,信心,shinshin
Shinshin,心神,#ERROR!
#ERROR!,真神,#ERROR!
Mind and body,心身,#ERROR!
#ERROR!,神身,#ERROR!
#ERROR!,心室,#ERROR!
#ERROR!,信書,#ERROR!
#ERROR!,親書,#ERROR!
Credentials,信証,shinshō
impression,心証,shinshō
#ERROR!,身障,#ERROR!
#ERROR!,身傷,#ERROR!
#ERROR!,新鮮な,#ERROR!
#ERROR!,新春,#ERROR!
#ERROR!,新秋,#ERROR!
Shinde,新出,#ERROR!
Kamide,神出,#ERROR!
#ERROR!,新宅,#ERROR!
#ERROR!,神託,#ERROR!
#ERROR!,心胆,#ERROR!
New edition,新訂,#ERROR!
#ERROR!,神典,#ERROR!
#ERROR!,震天,jintyen
#ERROR!,身土,shinto
#ERROR!,親等,#ERROR!
#ERROR!,神徳,#ERROR!
#ERROR!,親独,#ERROR!
#ERROR!,伸展,#ERROR!
#ERROR!,親展,shintin
#ERROR!,新地,#ERROR!
#ERROR!,神地,#ERROR!
#ERROR!,辛勝,#ERROR!
#ERROR!,神通,#ERROR!
theology,神統,#ERROR!
#ERROR!,神職,#ERROR!
stretching,伸張,#ERROR!
#ERROR!,伸長,shinchān
#ERROR!,新体,#ERROR!
new emperor,新帝,shintei
#ERROR!,神体,#ERROR!
#ERROR!,身体,#ERROR!
Truth,真諦,shintei
#ERROR!,新調,#ERROR!
#ERROR!,心頭,#ERROR!
carrion,死肉,#ERROR!
mythology,神話,shin/jinhwa
#ERROR!,心王,#ERROR!
new king,新王,#ERROR!
#ERROR!,心外,#ERROR!
epicenter,震源,#ERROR!
new moon,新月,#ERROR!
intention,心意,#ERROR!
#ERROR!,神意,#ERROR!
#ERROR!,神異,#ERROR!
new meaning,新義,#ERROR!
#ERROR!,神域,#ERROR!
divine race,神族,#ERROR!
#ERROR!,親族,#ERROR!
#ERROR!,心象,#ERROR!
Masato,真人,#ERROR!
#ERROR!,神人,shin/jinzhin
deep weight,深重,#ERROR!
#ERROR!,新注,#ERROR!
New sake,新酒,#ERROR!
sacred sake,神酒,#ERROR!
#ERROR!,神州,#ERROR!
#ERROR!,深い,shin
hard,辛い,#ERROR!
#ERROR!,新しい,#ERROR!
#ERROR!,寝る,#ERROR!
spicy ox,辛丑,#ERROR!
#ERROR!,辛亥,shin
faith,信仰,shinkān
Shinto offering,神供,#ERROR!
Divine Confucianism,神儒,#ERROR!
New Yen,新円,#ERROR!
#ERROR!,真円,#ERROR!
#ERROR!,真剣,#ERROR!
#ERROR!,新劇,#ERROR!
#ERROR!,深奥,#ERROR!
#ERROR!,真如,#ERROR!
#ERROR!,神妙,#ERROR!
#ERROR!,神威,#ERROR!
#ERROR!,神将,#ERROR!
nave,身廊,#ERROR!
#ERROR!,親征,#ERROR!
#ERROR!,新患,shinhwan
#ERROR!,心悸,#ERROR!
#ERROR!,神慮,shin/jinlyo
deep consideration,深慮,#ERROR!
#ERROR!,震憾,#ERROR!
#ERROR!,親戚,#ERROR!
#ERROR!,神授,#ERROR!
Shocking,震撼,#ERROR!
divine wisdom,神智,#ERROR!
#ERROR!,新暦,#ERROR!
#ERROR!,深更,#ERROR!
true spear,真槍,#ERROR!
earthquake,震災,#ERROR!
#ERROR!,心猿,#ERROR!
#ERROR!,神獣,#ERROR!
#ERROR!,神璽,#ERROR!
deep,深甚,#ERROR!
#ERROR!,親疎,#ERROR!
heartache,心痛,#ERROR!
Psychotherapy,心療,#ERROR!
#ERROR!,震盪,#ERROR!
#ERROR!,神祠,#ERROR!
#ERROR!,深窓,#ERROR!
Divine Dragon,神竜,#ERROR!
child prodigy,神童,#ERROR!
#ERROR!,振粛,#ERROR!
new makeup,新粧,#ERROR!
Credit union,信組,#ERROR!
#ERROR!,心肝,#ERROR!
cardiopulmonary,心肺,#ERROR!
#ERROR!,親臨,#ERROR!
Pro-British,親英,#ERROR!
fungi,真菌,#ERROR!
New book,新著,shintso
Shinto funeral,神葬,#ERROR!
behind the heart,心裏,#ERROR!
#ERROR!,信託,#ERROR!
#ERROR!,深謀,#ERROR!
New release,新譜,#ERROR!
#ERROR!,真贋,#ERROR!
#ERROR!,真趣,#ERROR!
true autograph,真跡,#ERROR!
#ERROR!,新邸,shinche
#ERROR!,辛酉,#ERROR!
#ERROR!,神鏡,#ERROR!
trust,信頼,#ERROR!
#ERROR!,心願,#ERROR!
#ERROR!,神饌,#ERROR!
#ERROR!,震駭,#ERROR!
heart and soul,心魂,shinhon
body and soul,身魂,#ERROR!
#ERROR!,私益,#ERROR!
#ERROR!,支配,shihai
#ERROR!,支配する,#ERROR!
#ERROR!,支判,#ERROR!
#ERROR!,市販,#ERROR!
#ERROR!,事変,tsihen
Four sides,四辺,#ERROR!
city ​​wall,市壁,#ERROR!
paragon,師表,shipyō
#ERROR!,私法,shihō
City Newsletter,市報,shihou
#ERROR!,仕法,shihō
poetry,詩法,shihō
#ERROR!,至宝,#ERROR!
paper book,紙本,#ERROR!
capitalist,資本家,#ERROR!
#ERROR!,資本主義,#ERROR!
master,師父,#ERROR!
#ERROR!,詩風,#ERROR!
Samurai spirit,士風,#ERROR!
Private,私腹,#ERROR!
#ERROR!,士分,shipun
Dead,死霊,shiryōn
case history,事歴,tsireki
#ERROR!,死力,#ERROR!
#ERROR!,私立,#ERROR!
#ERROR!,市立,shiris
#ERROR!,司令,#ERROR!
Case studies,事例,#ERROR!
Materials,資料,#ERROR!
#ERROR!,思量,#ERROR!
sample,試料,#ERROR!
#ERROR!,詩論,#ERROR!
#ERROR!,史論,#ERROR!
personal opinion,私論,#ERROR!
Essay,試論,#ERROR!
quality,質,#ERROR!
thought,思想,#ERROR!
poetic thoughts,詩想,#ERROR!
#ERROR!,詩作,#ERROR!
#ERROR!,資産,#ERROR!
stillbirth,死産,#ERROR!
#ERROR!,刺殺,tsisas
#ERROR!,執刀,#ERROR!
wet field,湿田,#ERROR!
poetry,詩性,#ERROR!
#ERROR!,市制,#ERROR!
#ERROR!,支城,#ERROR!
#ERROR!,氏姓,#ERROR!
#ERROR!,施政,#ERROR!
#ERROR!,死生,#ERROR!
tattoo,刺青,#ERROR!
#ERROR!,私生,#ERROR!
branch line,支線,#ERROR!
#ERROR!,視線,#ERROR!
#ERROR!,死線,#ERROR!
#ERROR!,私選,#ERROR!
#ERROR!,施設,shises
#ERROR!,私設,#ERROR!
#ERROR!,私説,#ERROR!
#ERROR!,失火,#ERROR!
cost,失費,#ERROR!
#ERROR!,質感,#ERROR!
#ERROR!,失敬,#ERROR!
#ERROR!,失血,#ERROR!
#ERROR!,失禁,shiskin
#ERROR!,執行,#ERROR!
#ERROR!,失行,#ERROR!
#ERROR!,失語,#ERROR!
#ERROR!,失言,#ERROR!
#ERROR!,質権,#ERROR!
Forfeiture,失権,#ERROR!
rude,失礼,#ERROR!
#ERROR!,質量,shislyān
#ERROR!,室料,#ERROR!
pawn,質料,#ERROR!
#ERROR!,質問,#ERROR!
#ERROR!,室内,#ERROR!
#ERROR!,失念,#ERROR!
#ERROR!,死相,#ERROR!
#ERROR!,志操,#ERROR!
#ERROR!,士卒,#ERROR!
#ERROR!,四足,#ERROR!
verse,詩節,shisos
#ERROR!,失敗,shishai
writing,執筆,#ERROR!
pawned goods,質物,#ERROR!
#ERROR!,執政,#ERROR!
#ERROR!,失政,#ERROR!
#ERROR!,失速,#ERROR!
#ERROR!,湿式,shūsshiki
Obsession,執心,#ERROR!
Loss of consciousness,失当,#ERROR!
pawn shop,質店,#ERROR!
Goals conceded,失点,#ERROR!
#ERROR!,質実,#ERROR!
Number of papers,紙数,#ERROR!
#ERROR!,四則,#ERROR!
#ERROR!,室員,shisswin
#ERROR!,失業,shisswya
lose,失くす,#ERROR!
#ERROR!,失効,#ERROR!
#ERROR!,執奏,#ERROR!
#ERROR!,失恋,#ERROR!
simple,質朴,shispaku
#ERROR!,湿潤,#ERROR!
#ERROR!,湿疹,#ERROR!
laughter,失笑,#ERROR!
#ERROR!,失跡,#ERROR!
Loss,失陥,#ERROR!
dead,死者,shisha
#ERROR!,試射,#ERROR!
#ERROR!,試写,#ERROR!
#ERROR!,刺史,#ERROR!
#ERROR!,詩史,#ERROR!
#ERROR!,師資,#ERROR!
Poetry magazine,詩誌,#ERROR!
#ERROR!,士師,shishi
celebrant,司式,#ERROR!
#ERROR!,詩心,#ERROR!
#ERROR!,詩神,shishin/jin
Visual examination,視診,shishin
New,始新,#ERROR!
#ERROR!,私信,#ERROR!
#ERROR!,私心,shishin
#ERROR!,至心,#ERROR!
Private room,私室,#ERROR!
#ERROR!,支所,shisho
poetry book,詩書,#ERROR!
#ERROR!,史書,#ERROR!
librarian,司書,#ERROR!
#ERROR!,刺傷,#ERROR!
Supreme deity,至尊,#ERROR!
#ERROR!,死守,#ERROR!
Lent,四旬,#ERROR!
#ERROR!,至純,#ERROR!
situation,事態,#ERROR!
#ERROR!,私宅,#ERROR!
#ERROR!,支点,#ERROR!
branch,支店,#ERROR!
#ERROR!,視点,#ERROR!
#ERROR!,始点,#ERROR!
#ERROR!,使徒,shito
#ERROR!,司徒,#ERROR!
#ERROR!,死地,#ERROR!
#ERROR!,試乗,#ERROR!
