"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"precipitation","??","?","?","","","","seki","shus","","","","sekishus","","seki?us"
"color vision","??","?","?","","","","seku","kaku","","","","sekukaku","","sekkaku"
"seat","?","?","","","","","seku","#NUM!","","","","#NUM!","","seku"
"cable","?","?","","","","","saku","#NUM!","","","","#NUM!","","seku"
"color path","??","?","?","","","","seku","d?","","","","sekud?","","sekudo?"
"cableway","??","?","?","","","","saku","d?","","","","sakud?","","sekudo?"
"lust","??","?","?","","","","seku","j?n","","","","sekuj?n","","seku?o?"
"Ishinaka","??","?","?","","","","shaki","ju","","","","shakiju","","seku?u"
"rigging","??","?","?","","","","saku","gu","","","","sakugu","","sekugu"
"flint fire","??","?","?","","","","shaki","hwa","","","","shakihwa","","sekuha"
"stone seal","??","?","?","","","","shaki","in","","","","shakiin","","sekuin"
"index","??","?","?","","","","saku","in","","","","sakuin","","sekuin"
"lust","??","?","?","","","","seku","yoku","","","","sekuyoku","","sekujoku"
"oil","??","?","?","","","","shaki","yu","","","","shakiyu","","sekuju"
"color world","??","?","?","","","","seku","kai","","","","sekukai","","sekukai"
"Color plane","??","?","?","","","","seku","myen","","","","sekumyen","","sekumjen"
"Stone pattern","??","?","?","","","","shaki","mun","","","","shakimun","","sekumun"
"stone gate","??","?","?","","","","shaki","mun","","","","shakimun","","sekumun"
"stone tablet","??","?","?","","","","shaki","pan","","","","shakipan","","sekupan"
"stone slab","??","?","?","","","","shaki","pan","","","","shakipan","","sekupan"
"stone slab","??","?","?","","","","shaki","pan","","","","shakipan","","sekupan"
"piece of stone","??","?","?","","","","shaki","hen","","","","shakihen","","sekupen"
"color color","??","?","?","","","","seku","seku","","","","sekuseku","","sekuseku"
"Hue","??","?","?","","","","seku","s?n","","","","sekus?n","","sekuso?"
"Seating arrangement","??","?","?","","","","seku","jun","","","","sekujun","","sekusun"
"stone statue","??","?","?","","","","shaki","s?n","","","","shakis?n","","seku?a?n"
"stone quality","??","?","?","","","","shaki","shis","","","","shakishis","","seku?is"
"head of seat","??","?","?","","","","seku","shu","","","","sekushu","","seku?u"
"stone pagoda","??","?","?","","","","shaki","tais","","","","shakitais","","sekuta?n"
"Search","??","?","?","","","","saku","toki","","","","sakutoki","","sekuteku"
"Seating order","??","?","?","","","","seku","tsa","","","","sekutsa","","seku?a"
"stone ground","??","?","?","","","","shaki","tsi","","","","shakitsi","","seku?i"
"rock garden","??","?","?","","","","shaki","tei","","","","shakitei","","seku?ei"
"made of stone","??","?","?","","","","shaki","tsei","","","","shakitsei","","seku?ei"
"stone","??","?","?","","","","shaki","zai","","","","shakizai","","sekuzai"
"stone man","??","?","?","","","","shaki","zhin","","","","shakizhin","","seku?in"
"Stone construction","??","?","?","","","","shaki","zou","","","","shakizou","","seku?o?n"
"Stone wall","??","?","?","","","","shaki","rwi","","","","shakirwi","","sekurwi"
"color blindness","??","?","?","","","","seku","jaku","","","","sekujaku","","seku?aku"
"color","??","?","?","","","","seku","sai","","","","sekusai","","sekusai"
"Stone axe","??","?","?","","","","shaki","","","","","shaki","","seku?"
"stone pillar","??","?","?","","","","shaki","chu","","","","shakichu","","seku?"
"sarcophagus","??","?","?","","","","shaki","kan","","","","shakikan","","seku?"
"color blindness","??","?","?","","","","seku","m?n","","","","sekum?n","","seku?"
"cave","??","?","?","","","","shaki","kus","","","","shakikus","","seku?"
"stalagmite","??","?","?","","","","shaki","","","","","shaki","","seku?"
"quartz","??","?","?","","","","shaki","ei","","","","shakiei","","sekuei"
"stone arrowhead","??","?","?","","","","shaki","","","","","shaki","","seku?"
"line","?","?","","","","","sen","#NUM!","","","","#NUM!","","sen"
"Monopoly","??","?","?","","","","s?n","mai","","","","s?nmai","","senbai"
"stern","??","?","?","","","","sen","bi","","","","senbi","","senbi"
"Sea freight","??","?","?","","","","sen","b?n","","","","senb?n","","senbi?n"
"arbitrary decision","??","?","?","","","","s?n","dan","","","","s?ndan","","sendan"
"Previously","??","?","?","","","","sen","do","","","","sendo","","sendo"
"on the line","??","?","?","","","","sen","?i","","","","sen?i","","sen?i"
"Line diagram","??","?","?","","","","sen","tu","","","","sentu","","sen?o"
"Advertising","??","?","?","","","","sen","den","","","","senden","","sen?en"
"striae","??","?","?","","","","sen","j?","","","","senj?","","sen?o"
"On the ship","??","?","?","","","","sen","ju","","","","senju","","sen?u"
"Preemptive","??","?","?","","","","sen","tswi","","","","sentswi","","sen?wi"
"Shadow of a ship","??","?","?","","","","sen","ei","","","","senei","","senei"
"Declaration","??","?","?","","","","sen","pu","","","","senpu","","senfu"
"eyewash","??","?","?","","","","sen","gan","","","","sengan","","sengan"
"Leading","??","?","?","","","","sen","k?/gy?n/sh?n","","","","senk?/gy?n/sh?n","","sengjo?"
"Specialist","??","?","?","","","","s?n","k?/gy?n/sh?n","","","","s?nk?/gy?n/sh?n","","sengjo?"
"declaration","??","?","?","","","","sen","yon","","","","senyon","","sengon"
"Preschool","??","?","?","","","","sen","","","","","sen","","senhaku"
"shallow learning","??","?","?","","","","chan","","","","","chan","","senhaku"
"tyranny","??","?","?","","","","s?n","h?n","","","","s?nh?n","","senhu?n"
"Last time","??","?","?","","","","sen","hwi","","","","senhwi","","senhwi"
"Fiber","??","?","?","","","","sen","ye","","","","senye","","seni?"
"Dedicated","??","?","?","","","","s?n","is","","","","s?nis","","senis"
"Advance booking","??","?","?","","","","sen","yaku","","","","senyaku","","senjaku"
"elixir","??","?","?","","","","sen","yaku","","","","senyaku","","senjaku"
"exclusive","??","?","?","","","","s?n","y?","","","","s?ny?","","senjo?"
"exclusive use","??","?","?","","","","tson","y?","","","","tsony?","","senjo?"
"Exclusive","??","?","?","","","","s?n","y?","","","","s?ny?","","senju"
"declaration","??","?","?","","","","sen","ka","","","","senka","","senka"
"Specialty","??","?","?","","","","s?n","ka","","","","s?nka","","senka"
"Elective course","??","?","?","","","","sen","ka","","","","senka","","senka"
"Under the earth","??","?","?","","","","sen","ka","","","","senka","","senka"
"shallow sea","??","?","?","","","","chan","kai","","","","chankai","","senkai"
"dwelling place of hermits","??","?","?","","","","sen","kai","","","","senkai","","senkai"
"Foresight","??","?","?","","","","sen","kaku","","","","senkaku","","senkaku"
"ship","??","?","?","","","","sen","kan","","","","senkan","","senkan"
"prior experience","??","?","?","","","","sen","ken","","","","senken","","senken"
"Asami","??","?","?","","","","chan","ken","","","","chanken","","senken"
"Senshen","??","?","?","","","","sen","hyen","","","","senhyen","","senken"
"First come, first served","??","?","?","","","","sen","chaku","","","","senchaku","","senki"
"Thousand gold","??","?","?","","","","sen","kin","","","","senkin","","senkin"
"Previous customer","??","?","?","","","","sen","kyeku","","","","senkyeku","","senkjeku"
"Thousand customers","??","?","?","","","","sen","kyeku","","","","senkyeku","","senkjeku"
"passenger","??","?","?","","","","sen","kyeku","","","","senkyeku","","senkjeku"
"election","??","?","?","","","","sen","kyo","","","","senkyo","","senkjo"
"ship shape","??","?","?","","","","sen","hy?","","","","senhy?","","senkjo?"
"fairyland","??","?","?","","","","sen","ky?","","","","senky?","","senkjo?n"
"Song selection","??","?","?","","","","sen","kuku","","","","senkuku","","senkjuku"
"Chiko","??","?","?","","","","sen","ko","","","","senko","","senko"
"Mr. Sekong Ho","?????","?","?","?","?","?","sen","kou","","","","senkou","","senko??sensei"
"exclusive authority","??","?","?","","","","s?n","kwon","","","","s?nkwon","","senkon"
"sacrum","??","?","?","","","","sen","kos","","","","senkos","","senkos"
"Line","??","?","?","","","","sen","ku","","","","senku","","senku"
"Before and after","??","?","?","","","","sen","hou","","","","senhou","","senku?"
"Sen-kun","??","?","?","","","","sen","kun","","","","senkun","","senkun"
"Senka","??","?","?","","","","sen","hwa","","","","senhwa","","senkwa"
"coins","??","?","?","","","","tsen","kwa","","","","tsenkwa","","senkwa"
"Exclusive jurisdiction","??","?","?","","","","s?n","kan","","","","s?nkan","","senkwan"
"Final decision","??","?","?","","","","s?n","kes","","","","s?nkes","","senkwes"
"Selected","??","?","?","","","","sen","ry?n","","","","senry?n","","senlja?"
"occupation","??","?","?","","","","tson","ry?n","","","","tsonry?n","","senlja?n"
"dose","??","?","?","","","","sen","ry?n","","","","senry?n","","senljo"
"dye","??","?","?","","","","l?n","ryo","","","","l?nryo","","senljo"
"washed rice","??","?","?","","","","sen","mai","","","","senmai","","senmai"
"declaration","??","?","?","","","","sen","mei/my?n","","","","senmei/my?n","","senmei"
"Ship name","??","?","?","","","","sen","mei/my?n","","","","senmei/my?n","","senmei"
"chosen people","??","?","?","","","","sen","min","","","","senmin","","senmin"
"Specialty","??","?","?","","","","s?n","mun","","","","s?nmun","","senmun"
"Senior","??","?","?","","","","sen","nin","","","","sennin","","sennin"
"the other day","??","?","?","","","","sen","nis","","","","sennis","","sennis"
"Recently","??","?","?","","","","sen","pan","","","","senpan","","senpan"
"Sentomi","??","?","?","","","","sen","fu/pu","","","","senfu/pu","","senpu"
"Ex-husband","??","?","?","","","","sen","fu","","","","senfu","","senpu"
"ship's hull","??","?","?","","","","sen","fuku","","","","senfuku","","senpuku"
"line segment","??","?","?","","","","sen","pun","","","","senpun","","senpun"
"baptism","??","?","?","","","","sen","rei/re","","","","senrei/re","","senle"
"Preemptive","??","?","?","","","","sen","sei","","","","sensei","","sensei"
"First move","??","?","?","","","","sen","k?","","","","senk?","","sensei"
"Ship registry","??","?","?","","","","sen","swoku","","","","senswoku","","senseki"
"Sengoku","??","?","?","","","","sen","shaki","","","","senshaki","","senseku"
"advance divination","??","?","?","","","","sen","tson","","","","sentson","","sensen"
"ancestor","??","?","?","","","","sen","so","","","","senso","","senso"
"Senzoku","??","?","?","","","","sen","suku","","","","sensuku","","sensoku"
"spring water","??","?","?","","","","sen","sui","","","","sensui","","sensui"
"Ship side","??","?","?","","","","sen","soku","","","","sensoku","","sensuku"
"Selectors","??","?","?","","","","sen","sha","","","","sensha","","sen?a"
"car wash","??","?","?","","","","sen","sha","","","","sensha","","sen?a"
"Shipping","??","?","?","","","","sen","cheke","","","","sencheke","","sen?eku"
"Prehistory","??","?","?","","","","sen","shi","","","","senshi","","sen?i"
"teacher","??","?","?","","","","sen","shi","","","","senshi","","sen?i"
"devotion","??","?","?","","","","s?n","shin","","","","s?nshin","","sen?in"
"Shallow/deep","??","?","?","","","","chan","shin","","","","chanshin","","sen?in"
"Radiation quality","??","?","?","","","","sen","shis","","","","senshis","","sen?is"
"Spring quality","??","?","?","","","","sen","shis","","","","senshis","","sen?is"
"Selection","??","?","?","","","","sen","sho","","","","sensho","","sen?o"
"player","??","?","?","","","","sen","shu","","","","senshu","","sen?u"
"First Lord","??","?","?","","","","sen","shu","","","","senshu","","sen?u"
"ship owner","??","?","?","","","","sen","shu","","","","senshu","","sen?u"
"exclusively defensive","??","?","?","","","","s?n","shu","","","","s?nshu","","sen?u"
"First out","??","?","?","","","","sen","shus","","","","senshus","","sen?us"
"fleet","??","?","?","","","","sen","tai","","","","sentai","","sentai"
"election campaign","??","?","?","","","","sen","tai","","","","sentai","","sentai"
"Tip","??","?","?","","","","sen","tan","","","","sentan","","sentan"
"congenital","???","?","?","?","","","sen","tyen","","","","sentyen","","sentjen?eke"
"hold","??","?","?","","","","sen","ts?n","","","","sents?n","","sen?a?n"
"Sendai","??","?","?","","","","sen","sai","","","","sensai","","sen?ai"
"previous philosophy","??","?","?","","","","sen","tyes","","","","sentyes","","sen?es"
"advanced","??","?","?","","","","sen","shin","","","","senshin","","sen?in"
"First win","??","?","?","","","","sen","sh?n","","","","sensh?n","","sen?ju?"
"dyeing and weaving","??","?","?","","","","l?n","tsiku","","","","l?ntsiku","","sen?oku"
"former emperor","??","?","?","","","","sen","tei","","","","sentei","","sen?e"
"elector","??","?","?","","","","sen","tei","","","","sentei","","sen?e"
"Declaration of War","??","?","?","","","","sen","chen","","","","senchen","","sen?en"
"last week","??","?","?","","","","sen","sh?","","","","sensh?","","sen?u"
"head","??","?","?","","","","sen","tu","","","","sentu","","sentu"
"late king","??","?","?","","","","sen","ou","","","","senou","","senwa?n"
"overboard","??","?","?","","","","sen","wai","","","","senwai","","senwai"
"last month","??","?","?","","","","sen","wes","","","","senwes","","senwes"
"ship doctor","??","?","?","","","","sen","wi","","","","senwi","","senwi"
"prior consideration","??","?","?","","","","sen","wi","","","","senwi","","senwi"
"sailor","??","?","?","","","","sen","win","","","","senwin","","senwin"
"wire rod","??","?","?","","","","sen","zai","","","","senzai","","senzai"
"ship materials","??","?","?","","","","sen","zai","","","","senzai","","senzai"
"thousand people","??","?","?","","","","sen","zhin","","","","senzhin","","sen?in"
"Senjutsu","??","?","?","","","","sen","chus","","","","senchus","","sen?us"
"Divination","??","?","?","","","","tson","chus","","","","tsonchus","","sen?us"
"shallow","??","?","?","","","","chan","","","","","chan","","sen?"
"choose","??","?","?","","","","sen","","","","","sen","","sen?"
"Line engraving","??","?","?","","","","sen","kaku","","","","senkaku","","senkoku"
"Selection","??","?","?","","","","sen","ch?n","","","","sench?n","","sen?"
"preference","??","?","?","","","","sen","k?","","","","senk?","","senho?"
"Thousand figures","??","?","?","","","","sen","shi","","","","senshi","","sen?"
"Chihiro","??","?","?","","","","sen","shin","","","","senshin","","sen?"
"discretion","??","?","?","","","","s?n","zhi","","","","s?nzhi","","sen?"
"much thought","??","?","?","","","","sen","ryo","","","","senryo","","sen?"
"inconsideration","??","?","?","","","","chan","ryo","","","","chanryo","","sen?"
"choice","??","?","?","","","","sen","taku","","","","sentaku","","sen?"
"line drawing","??","?","?","","","","sen","by?","","","","senby?","","sen?"
"promotion","??","?","?","","","","sen","y?n","","","","seny?n","","sen?"
"Declaration","??","?","?","","","","sen","shi","","","","senshi","","sen?"
"stains","??","?","?","","","","l?n","o","","","","l?no","","sen?"
"Sendo","??","?","?","","","","sen","d?","","","","send?","","sen?"
"dock","??","?","?","","","","sen","","","","","sen","","sen?"
"Coal washing","??","?","?","","","","sen","tan","","","","sentan","","sentan"
"Exclusive firing","??","?","?","","","","s?n","ts?","","","","s?nts?","","sen?"
"Special name","??","?","?","","","","s?n","ts?n","","","","s?nts?n","","sen?o?"
"Seno","??","?","?","","","","sen","?n","","","","sen?n","","sen?"
"shallow","??","?","?","","","","chan","paku","","","","chanpaku","","sen?"
"nematodes","??","?","?","","","","sen","ts?n","","","","sents?n","","sen?u"
"forerunner","??","?","?","","","","sen","","","","","sen","","sen?"
"senior","??","?","?","","","","sen","hai","","","","senhai","","senhai"
"The future","??","?","?","","","","sen","to","","","","sento","","sen?"
"advance dispatch","??","?","?","","","","sen","h?n","","","","senh?n","","sen?"
"mineral processing","??","?","?","","","","sen","kw?n","","","","senkw?n","","sen?"
"pioneering","??","?","?","","","","sen","","","","","sen","","sen?"
"First application","??","?","?","","","","sen","yan","","","","senyan","","senkwan"
"Washing hair","??","?","?","","","","sen","pas","","","","senpas","","sen?"
"Public opinion","??","?","?","","","","se","py?n","","","","sepy?n","","sepjo"
"theory","?","?","","","","","ses","#NUM!","","","","#NUM!","","ses"
"Setting","?","?","","","","","ses","#NUM!","","","","#NUM!","","ses"
"on snow","??","?","?","","","","shes","?i","","","","shes?i","","ses?i"
"In the snow","??","?","?","","","","shes","ju","","","","shesju","","se??u"
"worldly","??","?","?","","","","se","se","","","","sese","","sese"
"snow field","??","?","?","","","","shes","wen","","","","sheswen","","seskwon"
"Setup","??","?","?","","","","ses","ein","","","","sesein","","se??ei"
"design","??","?","?","","","","ses","kei","","","","seskei","","seskei"
"Sermon","??","?","?","","","","ses","kei","","","","seskei","","seskei"
"snow scene","??","?","?","","","","shes","kei","","","","sheskei","","seskei"
"Snow damage","??","?","?","","","","shes","koi","","","","sheskoi","","seskwai"
"Establishment","??","?","?","","","","ses","ris/ryus","","","","sesris/ryus","","seslis"
"Example","??","?","?","","","","ses","rei","","","","sesrei","","seslje"
"explanation","??","?","?","","","","ses","mei/my?n","","","","sesmei/my?n","","sesmei"
"Accountability","????","?","?","?","?","","ses","mei/my?n","","","","sesmei/my?n","","sesmei?ekunin"
"explain","????","?","?","?","?","","ses","mei/my?n","","","","sesmei/my?n","","sesmei??"
"snow surface","??","?","?","","","","shes","myen","","","","shesmyen","","sesmjen"
"essay","??","?","?","","","","ses","mun","","","","sesmun","","sesmun"
"Sejo","??","?","?","","","","se","so","","","","seso","","seso"
"half","??","?","?","","","","sos","han","","","","soshan","","sespan"
"section","??","?","?","","","","sos","hen","","","","soshen","","sespen"
"snowflakes","??","?","?","","","","shes","hen","","","","sheshen","","sespen"
"equipment","??","?","?","","","","ses","bi","","","","sesbi","","sespi"
"snow white","??","?","?","","","","shes","paku","","","","shespaku","","sespjaku"
"cutting","??","?","?","","","","sos","saku","","","","sossaku","","sessaku"
"Set color","??","?","?","","","","ses","seku","","","","sesseku","","sesseku"
"Breakage","??","?","?","","","","sos","son","","","","sosson","","sesson"
"snow statue","??","?","?","","","","shes","s?n","","","","shess?n","","ses?a?n"
"stamp","??","?","?","","","","sos","shu","","","","sosshu","","ses?u"
"leather soled sandals","??","?","?","","","","shes","ta","","","","shesta","","sesta"
"Persuasion","??","?","?","","","","ses","tuku","","","","sestuku","","sestoku"
"Installation","??","?","?","","","","ses","chi","","","","seschi","","se??i"
"Instructions","??","?","?","","","","ses","shi","","","","sesshi","","ses?i"
"Cut","??","?","?","","","","sos","","","","","sos","","ses?"
"Fold","??","?","?","","","","sos","","","","","sos","","ses?"
"Conversion","??","?","?","","","","sos","fuku","","","","sosfuku","","ses?"
"punishment","??","?","?","","","","sos","","","","","sos","","ses?"
"snowfield","??","?","?","","","","shes","kei","","","","sheskei","","seskje"
"polishing","??","?","?","","","","sos","","","","","sos","","ses?"
"ticket","??","?","?","","","","sos","fu","","","","sosfu","","ses?"
"exhortation","??","?","?","","","","ses","yu","","","","sesyu","","ses?"
"revenge","??","?","?","","","","shes","shoku","","","","shesshoku","","ses?"
"earnest desire","??","?","?","","","","sos","yan","","","","sosyan","","seskwan"
"Crown Prince","??","?","?","","","","se","tsi","","","","setsi","","se?e"
"world affairs","??","?","?","","","","se","tsi","","","","setsi","","se?i"
"Blessed One","??","?","?","","","","se","tson","","","","setson","","se?on"
"household","??","?","?","","","","se","tai","","","","setai","","setai"
"incisors","??","?","?","","","","sos","chi","","","","soschi","","se??i"
"setting","??","?","?","","","","ses","tei/j?n","","","","sestei/j?n","","se??o?"
"World wisdom","??","?","?","","","","se","chi","","","","sechi","","se?i"
"care","??","?","?","","","","se","hwa","","","","sehwa","","sewa"
"Ministry","?","?","","","","","sh?n","#NUM!","","","","#NUM!","","so?"
"mutual love","??","?","?","","","","s?n","ai","","","","s?nai","","so?ai"
"Ministry plan","??","?","?","","","","sh?n","an","","","","sh?nan","","so?an"
"Struggle for dominance","??","?","?","","","","ts?","ba","","","","ts?ba","","so?ba"
"Majestic beauty","??","?","?","","","","s?","mi","","","","s?mi","","so?bi"
"Confession","??","?","?","","","","s?n","mun","","","","s?nmun","","so?bun"
"Magnificent","???","?","?","?","","","s?","dai","","","","s?dai","","so?dai?"
"consultation","??","?","?","","","","s?n","tan","","","","s?ntan","","so?dan"
"Loading","??","?","?","","","","s?","tan","","","","s?tan","","so?dan"
"homologous","??","?","?","","","","s?n","d?","","","","s?nd?","","so?do?"
"hereditary tradition","??","?","?","","","","s?n","den","","","","s?nden","","so??en"
"Farewell speech","??","?","?","","","","s?","ji","","","","s?ji","","so??i"
"Sending and receiving","??","?","?","","","","s?","shu","","","","s?shu","","so??u"
"Sending and receiving calls","???","?","?","?","","","s?","shu","","","","s?shu","","so??uwa"
"operation","??","?","?","","","","sou","k?/gy?n/sh?n","","","","souk?/gy?n/sh?n","","so?gjo?"
"Send-off procession","??","?","?","","","","s?","k?/gy?n/sh?n","","","","s?k?/gy?n/sh?n","","so?gjo?"
"grand speech","??","?","?","","","","s?","go","","","","s?go","","so?go"
"Orthotics","??","?","?","","","","s?","gu","","","","s?gu","","so?gu"
"complementary","??","?","?","","","","s?n","po","","","","s?npo","","so?ho"
"mutual agreement","??","?","?","","","","s?n","k?","","","","s?nk?","","so?ka?"
"Cover illustration","??","?","?","","","","s?","ka","","","","s?ka","","so?kaku"
"Ship operation","??","?","?","","","","sou","kan","","","","soukan","","so?kan"
"strong health","??","?","?","","","","s?","ken","","","","s?ken","","so?ke?n"
"hasty decision","??","?","?","","","","s?","kei","","","","s?kei","","so?kei"
"Waseda and Keio","??","?","?","","","","s?","kei/ky?n","","","","s?kei/ky?n","","so?kei"
"Indictment","??","?","?","","","","s?","kon","","","","s?kon","","so?ken"
"early","??","?","?","","","","s?","ki","","","","s?ki","","so?ki"
"heroic achievement","??","?","?","","","","s?","kyo","","","","s?kyo","","so?kjo"
"Minister","??","?","?","","","","s?n","kou","","","","s?nkou","","so?ko?"
"early marriage","??","?","?","","","","s?","hon","","","","s?hon","","so?kon"
"Throwing","??","?","?","","","","s?","gyu","","","","s?gyu","","so?ku"
"Aikuni","??","?","?","","","","s?n","kuku","","","","s?nkuku","","so?kuku"
"rivalry","??","?","?","","","","s?n","koku","","","","s?nkoku","","so?kuku"
"Exhilarating","??","?","?","","","","s?","kwe","","","","s?kwe","","so?kwai"
"within the ministry","??","?","?","","","","sh?n","nae","","","","sh?nnae","","so?nae"
"Representative","??","?","?","","","","s?n","","","","","s?n","","so?ndai"
"Full mobilization","???","?","?","?","","","s?n","d?n","","","","s?nd?n","","so?ndo?nwin"
"General report","??","?","?","","","","s?n","zh?n","","","","s?nzh?n","","so?n?a?n"
"Total army","??","?","?","","","","s?n","gun","","","","s?ngun","","so?ngun"
"Total soldiers","??","?","?","","","","s?n","p?n","","","","s?np?n","","so?nhei"
"Sum","??","?","?","","","","s?n","hwa","","","","s?nhwa","","so?nhwa"
"Souyu","??","?","?","","","","s?n","y?","","","","s?ny?","","so?nju"
"General","??","?","?","","","","s?n","k?","","","","s?nk?","","so?nka?"
"Overall view","??","?","?","","","","s?n","ken","","","","s?nken","","so?nken"
"Research Institute","??","?","?","","","","s?n","ken","","","","s?nken","","so?nken"
"pine roots","??","?","?","","","","s?n/sh?","kon","","","","s?n/sh?kon","","so?nkon"
"General Manager","??","?","?","","","","s?n","kan","","","","s?nkan","","so?nkwan"
"General Assembly","??","?","?","","","","s?n","kwi","","","","s?nkwi","","so?nkwi"
"Overview","??","?","?","","","","s?n","ran","","","","s?nran","","so?nlan"
"Prime Minister","??","?","?","","","","s?n","ri","","","","s?nri","","so?nli"
"Chief","??","?","?","","","","s?n","ry?n","","","","s?nry?n","","so?nlja?n"
"Consul General","???","?","?","?","","","s?n","ry?n","","","","s?nry?n","","so?nlja?n?i"
"Chongryon","??","?","?","","","","s?n","ryen","","","","s?nryen","","so?nljen"
"general affairs","??","?","?","","","","s?n","mu","","","","s?nmu","","so?nmu"
"Sobu","??","?","?","","","","s?n","mu","","","","s?nmu","","so?nmu"
"Main Gate","??","?","?","","","","s?n","mun","","","","s?nmun","","so?nmun"
"Overall Review","??","?","?","","","","s?n","py?n","","","","s?npy?n","","so?npjo"
"Review","??","?","?","","","","s?n","ses","","","","s?nses","","so?nses"
"Ministry of Internal Affairs and Communications","??","?","?","","","","s?n","sh?n","","","","s?nsh?n","","so?nso?"
"Collection","??","?","?","","","","s?n","s?s","","","","s?ns?s","","so?nsu?"
"General Provisions","??","?","?","","","","s?n","soku","","","","s?nsoku","","so?nsuku"
"whole body","??","?","?","","","","s?n","shin","","","","s?nshin","","so?n?in"
"General","??","?","?","","","","s?n","tai","","","","s?ntai","","so?ntai"
"General Affairs Department","??","?","?","","","","s?n","sho","","","","s?nsho","","so?n?o"
"Matsuju","??","?","?","","","","s?n/sh?","ju","","","","s?n/sh?ju","","so?n?u"
"All personnel","??","?","?","","","","s?n","win","","","","s?nwin","","so?nwin"
"Commander-in-Chief","??","?","?","","","","s?n","swe","","","","s?nswe","","so?n?"
"total victory","??","?","?","","","","s?n","","","","","s?n","","so?n?"
"Pine oak","??","?","?","","","","s?n/sh?","","","","","s?n/sh?","","so?n?"
"Shoto","??","?","?","","","","s?n/sh?","","","","","s?n/sh?","","so?n?"
"Shochiku","??","?","?","","","","s?n/sh?","chuku","","","","s?n/sh?chuku","","so?n?"
"Matsurai","??","?","?","","","","s?n/sh?","","","","","s?n/sh?","","so?n?"
"General control","??","?","?","","","","s?n","kas","","","","s?nkas","","so?n?"
"contradictory","??","?","?","","","","s?n","pan","","","","s?npan","","so?pan"
"Early onset","??","?","?","","","","s?","pas","","","","s?pas","","so?pas"
"phase piece","??","?","?","","","","s?n","hen","","","","s?nhen","","so?pen"
"Manipulation","??","?","?","","","","sou","h?/h?","","","","souh?/h?","","so?po?"
"ventilation","??","?","?","","","","s?","p?n","","","","s?p?n","","so?pu?n"
"conflict","??","?","?","","","","ts?","ran","","","","ts?ran","","so?ran"
"labor saving","??","?","?","","","","sh?n","riki/r?","","","","sh?nriki/r?","","so?riki"
"neighbor","??","?","?","","","","s?n","rin","","","","s?nrin","","so?rin"
"omission","??","?","?","","","","sh?n","ryaku","","","","sh?nryaku","","so?rjaku"
"drill","??","?","?","","","","sou","ren","","","","souren","","so?rjen"
"controversy","??","?","?","","","","ts?","ron","","","","ts?ron","","so?ron"
"mutual argument","??","?","?","","","","s?n","ron","","","","s?nron","","so?ron"
"operation","??","?","?","","","","sou","tsaku","","","","soutsaku","","so?saku"
"Operate","????","?","?","?","?","","sou","tsaku","","","","soutsaku","","so?saku??"
"Premature birth","??","?","?","","","","s?","san","","","","s?san","","so?san"
"reflection","??","?","?","","","","sh?n","sas","","","","sh?nsas","","so?sas"
"Early death","??","?","?","","","","s?","se","","","","s?se","","so?se"
"Aioi","??","?","?","","","","s?n","sei","","","","s?nsei","","so?sei"
"Ministry","??","?","?","","","","sh?n","sei","","","","sh?nsei","","so?sei"
"Ship steering","??","?","?","","","","sou","sen","","","","sousen","","so?sen"
"provincial line","??","?","?","","","","sh?n","sen","","","","sh?nsen","","so?sen"
"Graduation thesis","??","?","?","","","","sos","ron","","","","sosron","","so?slon"
"inheritance","??","?","?","","","","s?n","soku","","","","s?nsoku","","so?soku"
"fainting","??","?","?","","","","sos","tou","","","","sostou","","so???i"
"stroke","??","?","?","","","","sos","ju","","","","sosju","","so???u"
"Mutual succession","??","?","?","","","","s?n","sh?n","","","","s?nsh?n","","so?su?n"
"water supply","??","?","?","","","","s?","sui","","","","s?sui","","so?sui"
"precocious","??","?","?","","","","s?","shuku","","","","s?shuku","","so?suku"
"Immediately","??","?","?","","","","s?n","seiku","","","","s?nseiku","","so?suku"
"Graduation","??","?","?","","","","sos","wen","","","","soswen","","so?swen"
"shunting","??","?","?","","","","sou","sha","","","","sousha","","so??a"
"man in prime","??","?","?","","","","s?","sha","","","","s?sha","","so??a"
"Mutual thoughts","??","?","?","","","","s?n","shi","","","","s?nshi","","so??i"
"Soushi","??","?","?","","","","s?","shi","","","","s?shi","","so??i"
"send","??","?","?","","","","s?","shin","","","","s?shin","","so??in"
"Attire","??","?","?","","","","s?","shin","","","","s?shin","","so??in"
"Early departure","??","?","?","","","","s?","shus","","","","s?shus","","so??us"
"sending out","??","?","?","","","","s?","shus","","","","s?shus","","so??us"
"relative","??","?","?","","","","s?n","tai","","","","s?ntai","","so?tai"
"delivery","??","?","?","","","","s?","tas","","","","s?tas","","so?tas"
"Manipulation Code","??","?","?","","","","sou","tyun","","","","soutyun","","so?ten"
"provincial capital","??","?","?","","","","sh?n","to/tsu","","","","sh?nto/tsu","","so?to"
"equality","??","?","?","","","","s?n","t?n","","","","s?nt?n","","so?to?"
"Leaving early","??","?","?","","","","s?","chai","","","","s?chai","","so?toi"
"90th birthday","??","?","?","","","","sos","ju","","","","sosju","","so???u"
"Minister","??","?","?","","","","sh?n","ch?n","","","","sh?nch?n","","so??a?n"
