lemma,ipa,POS,english,italian,byakuzhi,askaoza,notes,example
nimuno,nimuno,: n =,voice,voce,,,,
maːkka,maːkka,: n =,voyage,viaggio,,,,
ekkesu,ekkesu,: v =,wake up,svegliare,,,,
ekkeusu,ekkeusu,: v =,wake up,svegliarsi,,,,
jui,ʤui,: n =,wall,muro,,,,
ʣaifu,ʣaifu,: n =,wallet,portafoglio,,,,
ginchau,ginʧau,: n =,walnuts,noce,,,,
jama,jama,: n =,warehouse,magazzino,,,,
lamina,lamina,: adj =,warm,tiepido,,,,
Warshawa,Warʃawa,: n =,Warsaw,Varsavia,,,,
miwa,miwa,: n =,water,acqua,,,,
ēhina,eːhina,: n =,waterfall,cascata,,,,
wassaji,wassaʤi,: n =,watermelon,anguria,,,,
moigon,moigon,: n =,wave,onda,,,,
abajina,abaʤina,: adj =,weak,debole,,,,
sugosu,sugosu,: v =,wear,indossare,,,,
nujanme,nuʤanme,: n =,week,settimana,,,,
seji,seʤi,: n =,well,pozzo,,,,
funnai,funnai,: n =,well,pozzo,,,,
nundana,nundana,: adj =,wet,bagnato,,,,
shihkama,ʃihkama,: n =,whale,balena,,,,
kirago,kirago,: n =,wharf,molo,,,,
nashi,naʃi,: conj =,what (inter.),cosa,,,,
estin,estin,: adv =,When,quando,,,,
iroi,iroi,: conj =,when (relative),when (relative),,,,
okea,okea,: conj =,when (relative),when (relative),,,,
kami,kami,: conj =,Where,dove,,,,
V.[str. stem]+okomi,okomi,: adv =,While,mentre,,,,
tsazasu,ʦazasu,: v =,whisper,sussurrare,,,,
chara,ʧara,: n =,white,bianco,,,,
naga,naga,: conj =,Who,chi,,,,
nagatsas,nagaʦas,: pron =,whoever,chiunque,,,,
tuki,tuki,: adj =,whole (suffix),intero (suffisso),,,,
naki,naki,: conj =,Why,perché,,,,
nuskana,nuskana,: adj =,wide,largo,,,,
kuribeppise,kuribeppise,: n =,wig,parrucca,,,,
nanda,nanda,: n =,wind,vento,,,,
teka,teka,: n =,window,finestra,,,,
jaeka,ʤaeka,: n =,wing,ala,,,,
talpi,talpi,: n =,winter,inverno,,,,
pinni,pinni,: n =,wish,desiderio,,,,
makusei,makusei,: n =,wisteria,glicine,,,,
huulitante,huulitante,: adv =,with nonchalance,con non chalance,,,,
hobunte,hobunte,: adv =,without thinking about it,senza pensarci,,,,
tsaikis,ʦaikis,: n =,wolf,lupo,,,,
idano,idano,: n =,woods,bosco,,,,
namuta,namuta,: n =,word,parola,,,,
olki,olki,: n =,Work,lavoro,,,,
nyeri,njeri,: n =,worm,verme,,,,
huuli,huuli,: n =,worry,preoccupazione,,,,
erasu,erasu,: n =,wound,ferita,,,,
poniuka,poniuka,: n =,wrist,polso,,,,
ponikkitaka,ponikkitaka,: n =,wristwatch,orologio da polso,,,,
wose,wose,: n =,year,anno,,,,
tsuka,ʦuka,: n =,yellow,giallo,,,,
kenau,kenau,: adv =,Yesterday,ieri,,,,
saihi,saihi,: n =,you,voi,,,,
saiga,saiga,: n =,you (honorific),tu (onorifico),,,,
sai,sai,: n =,you (informal),tu (informale),,,,
panana,panana,: adj =,young,giovane,,,,
hatta,hatta,: num =,one,uno,,,,
kana,kana,: num =,two,due,,,,
shobe,ʃobe,: num =,Three,tre,,,,
tās,ta:s,: num =,four,quattro,,,,
oriba,oriba,: num =,five,cinque,,,,
tsonaha,ʦonaha,: num =,six,sei,,,,
doigi,doigi,: num =,seven,sette,,,,
yeison,yeison,: num =,eight,otto,,,,
taguken,taguken,: num =,nine,nove,,,,
kiba,kiba,: num =,ten,dieci,,,,
taska,taska,: n =,pocket,tasca,,,,
